毛皮,毛皮[けがわ],"fur, skin, pelt",,,
激増,激増[げきぞう],sudden increase,,,
下水,下水[げすい],"drainage, sewage, ditch, gutter, sewerage",,,
桁,桁[けた],"column, beam, digit",,,
気配,気配[けはい],"indication, sign, hint",,,
下品,下品[げひん],"vulgar, indecent, coarse",,,
見学,見学[けんがく],"tour, study by observation",,,
原稿,原稿[げんこう],"manuscript, copy",,,
原産,原産[げんさん],place of origin,,,
原始,原始[げんし],"origin, primeval",,,
謙遜,謙遜[けんそん],"humble, humility, modesty",,,
県庁,県庁[けんちょう],prefectural office,,,
限[げん]度[ど],限[][げん]度[ど],"limit, bounds",,,
現に,現[げん]に,"actually, really",,,
顕微鏡,顕微鏡[けんびきょう],microscope,,,
懸命,懸命[けんめい],"eagerness, strenuous",,,
原理,原理[げんり],"principle, theory, fundamental truth",,,
原料,原料[げんりょう],raw materials,,,
～校,～校[～こう],counter for school,,,
～港,～港[～こう],~ port,,,
～号,～号[～ごう],counter for magazine; the name of ship,,,
工員,工員[こういん],factory worker,,,
公共,公共[こうきょう],"public, community, communal",,,
孝行,孝行[こうこう],filial piety,,,
交差,交差[こうさ],"crossing, intersection",,,
工事,工事[こうじ],construction work,,,
公式,公式[こうしき],"formula, formality, official",,,
口[こう]実[じつ],口[][こう]実[じつ],excuse,,,
こうして,こうして,"like this, with this",,,
公衆,公衆[こうしゅう],the public,,,
香水,香水[こうすい],perfume,,,
功績,功績[こうせき],"achievements, merit",,,
光線,光線[こうせん],"beam, light ray",,,
高層,高層[こうそう],"tall, high rise",,,
交替,交替[こうたい],"change, relief, alteration",,,
耕地,耕地[こうち],arable land,,,
校庭,校庭[こうてい],school yard,,,
肯定,肯定[こうてい],"positive, affirmation",,,
高等,高等[こうとう],"high class, high grade",,,
合同,合同[ごうどう],"combination, incorporation",,,
高等学校,高等学校[こうとうがっこう],senior high school,,,
公表,公表[こうひょう],"official announcement, proclamation",,,
鉱物,鉱物[こうぶつ],mineral,,,
公務,公務[こうむ],"official business, public business",,,
紅葉,紅葉[こうよう<br>もみじ],"fall colors (of leaves), leaves changing color<br>Japanese maple",suru<br>n,,
合理,合理[ごうり],rational,,,
交流,交流[こうりゅう],exchange; alternating current,,,
効力,効力[こうりょく],"effect, efficacy",,,
コース,コース,course,,,
コーラス,コーラス,chorus,,,
～国,～国[～こく],nation of ~,,,
国王,国王[こくおう],king,,,
国立,国立[こくりつ],national,,,
ご苦労様,ご 苦労様[くろうさま],Thank you for your had work,,,
心得る,心得[こころえ]る,"to understand, to have thorough knowledge",,,
腰掛け,腰掛[こしか]け,"seat, bench",,,
五十音,五十音[ごじゅうおん],the Japanese syllabary,,,
こしらえる,こしらえる,"to make, to manufacture",,,
擦る,擦[こす]る,"to rub, to chafe, to file, to frost (glass), to strike (match)",,,
個体,個体[こたい],an individual,,,
ごちそうさま,ごちそうさま,Thank you for the meal,,,
こちらこそ,こちらこそ,it is I who should say so,,,
コック,コック,"cook; tap, cock",,,
こっそり,こっそり,"stealthily, secretly",,,
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~",,,
こないだ,こないだ,"the other day, lately, recently",,,
御無沙汰,御無沙汰[ごぶさた],not writing or contacting for a while,,,
ゴム,ゴム,"gum, rubber",,,
御免,御免[ごめん],"declining (something); pardon, sorry",,,
ごめんください,ごめんください,"May I come in, Is anyone here",,,
小指,小指[こゆび],little finger,,,
堪える,堪[こら]える,"to bear, to endure, to put up with",,,
御覧,御覧[ごらん],"(hon.) look, inspection, try",,,
コレクション,コレクション,collection; correction,,,
転がす,転[ころ]がす,to roll,,,
転がる,転[ころ]がる,"to roll, to tumble",,,
紺,紺[こん],"navy blue, deep blue",,,
コンクール,コンクール,contest (FRE: concours),,,
コンクリート,コンクリート,concrete,,,
コンセント,コンセント,consent; power outlet,,,
こんばんは,こんばんは,good evening,,,
サークル,サークル,"circle, sports club (e.g., at a company)",,,
在学,在学[ざいがく],(enrolled) in school,,,
祭日,祭日[さいじつ],"national holiday, festival day",,,
催[さい]促[そく],催[][さい]促[そく],"demand, urge (action), press for",,,
災難,災難[さいなん],"calamity, misfortune",,,
